kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,24.0,24.0,1.0,1.0,24.0,30276.0,6923012.927999999
1.0,112.0,112.0,24.0,24.0,1.0,0.0,1.0,15814.0,5396832.607999999
1.0,112.0,112.0,24.0,80.0,1.0,0.0,1.0,51349.0,17435564.24
3.0,56.0,56.0,80.0,80.0,2.0,1.0,80.0,9183.0,1902461.2319999998
1.0,56.0,56.0,80.0,16.0,1.0,0.0,1.0,4440.0,843689.152
1.0,56.0,56.0,16.0,128.0,1.0,0.0,1.0,13545.0,3691794.192
5.0,28.0,28.0,128.0,128.0,2.0,2.0,128.0,10278.0,1175399.904
1.0,28.0,28.0,128.0,32.0,1.0,0.0,1.0,3897.0,572494.784
1.0,28.0,28.0,32.0,240.0,1.0,0.0,1.0,9507.0,2381833.264
3.0,14.0,14.0,240.0,240.0,2.0,1.0,240.0,3699.0,406312.17600000004
1.0,14.0,14.0,240.0,40.0,1.0,0.0,1.0,5711.0,665267.632
1.0,14.0,14.0,40.0,384.0,1.0,0.0,1.0,7452.0,1107811.392
5.0,14.0,14.0,384.0,384.0,1.0,2.0,384.0,25519.0,3388009.7120000008
1.0,14.0,14.0,384.0,64.0,1.0,0.0,1.0,8799.0,1039454.64
1.0,14.0,14.0,64.0,768.0,1.0,0.0,1.0,17978.0,2883344.8000000007
5.0,7.0,7.0,768.0,768.0,2.0,2.0,768.0,21925.0,1564724.8159999999
1.0,7.0,7.0,768.0,128.0,1.0,0.0,1.0,14979.0,1425942.8640000003
1.0,7.0,7.0,128.0,1296.0,1.0,0.0,1.0,25903.0,2843284.352
3.0,7.0,7.0,1296.0,1296.0,1.0,1.0,1296.0,16908.0,2067833.424
1.0,7.0,7.0,1296.0,216.0,1.0,0.0,1.0,44551.0,4756088.624
1.0,7.0,7.0,216.0,216.0,1.0,0.0,1.0,8507.0,914862.064
1.0,7.0,7.0,216.0,1296.0,1.0,0.0,1.0,40008.0,4682028.336000001
1.0,7.0,7.0,1296.0,1296.0,1.0,0.0,1.0,213174.0,24430777.776
3.0,112.0,112.0,3.0,32.0,2.0,1.0,1.0,8035.0,1442349.2959999999
